"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LDLR",0.445581952980556,-0.473103602473621,3.46061564261008,0.000609575442097003,0.00203460468852658,-1.3803413625633
"VSIR",0.42184800733525,-0.395967348055859,3.46056933764548,0.000609676596510288,0.00203460468852658,-1.38049568179516
"UQCRQ",-0.384823728980597,-0.0147864385707937,-3.46046552919875,0.000609903425816737,0.00203460468852658,-1.38084163426149
"SNX2",-0.247237037104369,0.0780747500518329,-3.45865429787485,0.000613873821569781,0.00204678033980316,-1.38687619841984
"POLD2",0.309225845151758,0.0582749676545746,3.45797922020872,0.000615359828484469,0.0020506641465936,-1.38912463474399
"OSBPL5",-0.358972184153143,-0.141563956195645,-3.45630397361328,0.000619061983376319,0.00206095145029561,-1.39470250415025
"EEF2",0.22047962136786,0.239831875765093,3.45615517269975,0.000619391825668884,0.00206095145029561,-1.39519782731489
"CNDP2",-0.385640588087088,0.0253381283966375,-3.45614464616832,0.000619415165719229,0.00206095145029561,-1.39523286690561
"RNF135",-0.274694047464676,0.0904034429106915,-3.45597397002136,0.000619793713740218,0.00206113690741213,-1.39580098153771
"PI4K2B",0.264370242595435,0.0843547905861059,3.45547640815361,0.000620898506305785,0.00206373605557649,-1.39745702292673
"RPL4",0.352725606989886,0.122293753949306,3.45376347755743,0.000624716010233334,0.0020753442899791,-1.4031564954716
"LEMD2",0.332601760526325,-0.0933675182143947,3.45178256071095,0.000629158107689942,0.00208901430972453,-1.40974436733018
"MSH2",0.337543340944594,0.156276242688121,3.44927396045615,0.000634825869195135,0.0021067376168456,-1.41808209396513
"TMX2",0.434086606012551,-0.107556569130081,3.4483872649862,0.000636840595551362,0.0021123258195301,-1.42102781674643
"NELFB",0.243280489088721,0.206783549746243,3.4482202776957,0.000637220687637558,0.00211248914359595,-1.42158249237212
"BST2",0.684891227820735,-0.737475987181583,3.44800698771315,0.000637706480986375,0.00211300253300363,-1.42229093362925
"S100A10",0.497788870530547,-0.52706250017628,3.44735062272367,0.000639203602369563,0.00211686462714194,-1.42447078981387
